Emp_ID,Emp_Name,Qtr1,Qtr2,Qtr3,Qtr4
677509,Lois Walker,32670,534450,746707.5,12747.84
940761,Brenda Robinson,13320,645300,76507.2,30693.6
428945,Joe Robinson,37050,36340,2508.66,1017338
408351,Diane Evans,529550,962500,114221.25,986811
193819,Benjamin Russell,13815,23436,82046.25,99102.5
499687,Patrick Bailey,30216,527437.5,14497.56,262762.5
539712,Nancy Baker,37980,37980,1822.59,12406.8
380086,Carol Murphy,18540,11802,326922.75,10662.4
477616,Frances Young,37050,25692,89966.25,12747.84
162402,Diana Peterson,333187.5,8001,97391.25,81095
231469,Ralph Flores,287400,9225,292842,62916
153989,Jack Alexander,15022,27338.85,146718,986811
386158,Melissa King,43125,34095.6,484060.5,334302.5
301576,Wayne Watson,9225,7137.9,215820,91238
441771,Cheryl Scott,5840,4428.27,23629.32,665420
528509,Paula Diaz,14610,9189.18,4766.85,76146
912990,Joshua Stewart,30216,22073.04,90956.25,323694
214352,Theresa Lee,352100,419265,15229.2,278810
890290,Julia Scott,4404,17525.97,62916,1017338
622406,Thomas Lewis,6181,17166.6,14714.7,24225.6
979607,Carol Edwards,8235,40837.5,978236,18443.6
969580,Matthew Turner,236400,31731.48,13429.92,563304
426038,Joan Stewart,37080,9100.08,30693.6,514524.38
388642,Ruby Rogers,8001,146718,8114.4,50052
560455,Carolyn Hayes,603750,484060.5,203350,200499
477253,Anne Russell,10944,746707.5,34736.1,22663.08
263480,Daniel Cooper,32280,32877.9,269892,10569.12
683826,Roger Roberts,36340,683397,508032,13294.82
474599,Maria Walker,529550,27234.9,13429.92,22127.64
335732,Brenda Butler,10451,12681.9,81095,3693.76
329752,Lillian Brown,225500,741906,15229.2,610081.5
893212,Amy Howard,25932,82046.25,99102.5,156048.75
621833,Gregory Edwards,352100,22482.9,262762.5,206852.5
456747,Roy Griffin,18540,31133.03,20991.6,708439.5
278556,Richard Mitchell,352625,89966.25,563304,215097.5
333476,Mary Wilson,43125,97391.25,978236,22127.64
218791,Aaron Price,600300,225596.25,334302.5,200499
134841,Donna Brown,34056,11092.95,28297.5,190362.5
726264,Carl Collins,32670,9100.08,13809.18,15940.98
766610,Joyce Jenkins,13320,862785,12406.8,243591.25
